"Contractual arrangement reference","Linked overarching arrangement reference","LEI of the financial entity","LEI of the ICT third-party service provider","Name of the ICT third-party service provider","Function identifier","Type of ICT service","Supports a critical or important function","Start date of the contract","End date of the contract","Country of provision of the service","Annual expense or estimated cost","Currency of the amount reported"
"ARR-2026-001","","5493001KJTIIGC8Y1R12","549300ZBWZJMTEDVDS68","Northwind Cloud Services BV","FUNC-PAY-01","Cloud computing services","Yes","01/04/2024","2027-03-31","NL","412.000,00","EUR"
"ARR-2026-002","ARR-2026-009","5493001KJTIIGC8Y1R12","213800QILIUD4ROSU086","Halden Data Centre AS","FUNC-PAY-02","Data centre services","Critical","2025-01-15","2026-06-30","Norway","88500.00","EUR"
"ARR-2026-003","","5493001KJTIIGC8Y1R12","N/A","Lumen Core Banking GmbH","FUNC-CORE-01","Software as a service","Yes","2023-07-01","2027-06-30","DE","1250000.00","EUR sign"
"ARR-2026-003","","5493001KJTIIGC8Y1R12","984500PRTFMQ8LB0X397","Lumen Core Banking GmbH","FUNC-CORE-02","Hosting services","Yes","2026-02-30","2027-02-27","DE","90000.00","EUR"
"ARR-2026-005","ARR-2026-005","5493001KJTIIGC8Y1R12","984500PRTFMQ8LB0X397","Lumen Core Banking (DE) GmbH","FUNC-RISK-02","Data analytics","No","2026-02-01","2029-01-31","FI","63000.00","EUR"
"ARR-2026-006","","5493001KJTIIGC8Y1R12","529900T8BM49AURSDO","Meridian Payments SA","","Payment processing","Yes","2025-09-01","","FR","240000.00","EUR"
"ARR-2026-007","","5493001KJTIIGC8Y1R12","8945001NQFMR4KZMTX57",Fjord Nett AS, Oslo,"FUNC-OPS-01","Network services","Yes","2025-03-01","2028-02-29","NO","51000.00","EUR"
"ARR-2026-008","","5493001KJTIIGC8Y1R12","549300zbwzjmtedvds67","Cr̩dit Num̩rique SAS","FUNC-OPS-02","Managed security services","Yes","2025-05-01","2028-04-30","FR","305000.00","eur"
"ARR-2026-010","","5493001KJTIIGC8Y1R12","213800QILIUD4ROSU086","Halden Data Centre AS","FUNC-OPS-03","Backup services","No","2026-01-01","2028-12-31","NO","17500.00","EUR"
"ARR-2026-010","","5493001KJTIIGC8Y1R12","213800QILIUD4ROSU086","Halden Data Centre AS","FUNC-OPS-03","Backup services","No","2026-01-01","2028-12-31","NO","17500.00","EUR"
"ARR-2026-011","","5493001KJTIIGC8Y1R12","8945001NQFMR4KZMTX57","Meridian Payments SA","FUNC-PAY-03","Payment processing","Yes","2027-01-01","2026-12-31","GB","1,250,000.00","EUR"
