id,title,product_type,gtin,mpn,image_link,manufacturer,manufacturer_address,manufacturer_email,country_of_origin,responsible_person,responsible_person_address,responsible_person_email,warning,target_country
SKU-2001,Cotton Tea Towel 50x70,Home > Kitchen textiles,4012345678901,TT-5070,https://cdn.example.eu/img/2001.jpg,Weberei Lindau GmbH,Seestrasse 14 88131 Lindau DE,kontakt@weberei-lindau.de,DE,,,,,DE
SKU-2002,Ceramic Mug 350 ml,Home > Tableware,4012345678918,MUG-350,https://cdn.example.eu/img/2002.jpg,,Via Roma 9 20121 Milano IT,info@ceramica.example,IT,,,,,IT
SKU-2003,Linen Napkin Set of 4,Home > Kitchen textiles,4012345678925,NAP-4L,https://cdn.example.eu/img/2003.jpg,Tessitura Brescia Srl,N/A,info@tessiturabrescia.it,IT,,,,,IT
SKU-2004,Glass Carafe 1 L,Home > Tableware,4012345678932,CAR-1L,https://cdn.example.eu/img/2004.jpg,Verrerie Lorraine SAS,7 Rue Haute 54000 Nancy FR,noreply@verrerie-lorraine.fr,FR,,,,,FR
SKU-2005,Stainless Steel Bottle 500 ml,Home > Drinkware,4012345678949,BT-500,https://cdn.example.eu/img/2005.jpg,Generic,Unit 4 Business Park Dublin IE,sales@bottles.example,IE,,,,,IE
SKU-2006,Bamboo Cutting Board,Home > Kitchen,4012345678956,CB-BAM,https://cdn.example.eu/img/2006.jpg,Guangxi Bamboo Works Ltd,No 88 Jinan Road Nanning CN,sales@gx-bamboo.example,CN,,,,,DE
SKU-2007,Silicone Baking Mat,Home > Bakeware,4012345678963,BM-SIL,https://cdn.example.eu/img/2007.jpg,Ningbo Kitchen Tools Co,12 Yinzhou Ningbo CN,export@nbkitchen.example,CN,Ningbo Kitchen Tools Co,12 Yinzhou Ningbo CN,export@nbkitchen.example,,DE
SKU-2008,Cast Iron Skillet 26 cm,Home > Cookware,4012345678970,SK-26,https://cdn.example.eu/img/2008.jpg,Ohio Ironworks Inc,1400 Grand Ave Columbus OH US,hello@ohioiron.example,US,Rhein Compliance GmbH,Domstrasse 5 50668 Koeln DE,,,DE
SKU-2009,Woven Storage Basket,Home > Storage,4012345678987,BK-WOV,,Rattan Craft Portugal Lda,Rua do Sol 12 4000 Porto PT,geral@rattancraft.pt,PT,,,,,PT
SKU-2010,Marble Coaster Set,Home > Tableware,,,https://cdn.example.eu/img/2010.jpg,Pietra Carrara Srl,Via Cave 3 54033 Carrara IT,info@pietracarrara.it,IT,,,,,IT
SKU-2011,Wooden Pull-Along Duck 3+,Toys > Wooden toys,4012345678994,DK-PULL,https://cdn.example.eu/img/2011.jpg,Holzspiel Werk GmbH,Hauptstrasse 8 96450 Coburg DE,service@holzspielwerk.de,DE,,,,,DE
SKU-2012,LED Desk Lamp with Lithium Battery,Electronics > Lighting,4012345679007,LMP-LI,https://cdn.example.eu/img/2012.jpg,Lumen Nord AB,Storgatan 2 11151 Stockholm SE,info@lumennord.se,SE,,,,"Warning. Do not short-circuit the battery. Keep away from fire.",DE
SKU-2013,Enamel Mixing Bowl 24 cm,Home > Kitchen,4012345679014,BW-24E,https://cdn.example.eu/img/2013.jpg,Emaille Werk Krems GmbH,Wiener Strasse 3 3500 Krems AT,,AT,,,,,AT
